RT_category	SampleTypev2	KEGG_category_name	KEGG_subcategory_name	KEGG_pathway_name	KO	description	gene_mean	nSampleTypes
Intermediate RT	Tongue_dorsum	Human Diseases	Infectious disease: parasitic	Amoebiasis	K13963	serpin B	5.9741151370813395e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Amino sugar and nucleotide sugar metabolism	K13967	N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase	7.426662003588517e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Glycan biosynthesis and metabolism	Biosynthesis of various nucleotide sugars	K13967	N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase	7.426662003588517e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K13979	alcohol dehydrogenase (NADP+)	1.0460315715311005e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	K13979	alcohol dehydrogenase (NADP+)	1.0460315715311005e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Lipid metabolism	Glycerolipid metabolism	K13979	alcohol dehydrogenase (NADP+)	1.0460315715311005e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Histidine metabolism	K13990	glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase	7.776792399521532e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of cofactors and vitamins	One carbon pool by folate	K13990	glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase	7.776792399521532e-5	418
Intermediate RT	Tongue_dorsum	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	K13993	HSP20 family protein	1.6475402389952152e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K14067	malate-CoA ligase subunit beta	1.3357322275119618e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Energy metabolism	Methane metabolism	K14067	malate-CoA ligase subunit beta	1.3357322275119618e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Energy metabolism	Methane metabolism	K14080	[methyl-Co(III) methanol/glycine betaine-specific corrinoid protein]:coenzyme M methyltransferase	1.0104739875598086e-5	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Cysteine and methionine metabolism	K14155	cysteine-S-conjugate beta-lyase	7.229378301435407e-4	418
Intermediate RT	Tongue_dorsum	Metabolism	Metabolism of other amino acids	Selenocompound metabolism	K14155	cysteine-S-conjugate beta-lyase	7.229378301435407e-4	418
Intermediate RT	Tongue_dorsum	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	K14164	glycyl-tRNA synthetase	8.684155502392344e-9	418
Intermediate RT	Tongue_dorsum	Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	K14170	chorismate mutase / prephenate dehydratase	3.2919740669856457e-4	418
