SampleID	Env	SourceSink	id
159753524_Buccal_mucosa	Buccal mucosa	Source	10
159753524_Buccal_mucosa	Buccal mucosa	Source	11
159753524_Buccal_mucosa	Buccal mucosa	Source	12
159753524_Buccal_mucosa	Buccal mucosa	Source	13
159753524_Buccal_mucosa	Buccal mucosa	Source	14
159753524_Buccal_mucosa	Buccal mucosa	Source	15
159753524_Buccal_mucosa	Buccal mucosa	Source	16
159753524_Buccal_mucosa	Buccal mucosa	Source	17
159753524_Buccal_mucosa	Buccal mucosa	Source	18
159753524_Buccal_mucosa	Buccal mucosa	Source	19
160158126_Buccal_mucosa	Buccal mucosa	Source	1
160158126_Buccal_mucosa	Buccal mucosa	Source	2
160158126_Buccal_mucosa	Buccal mucosa	Source	3
160158126_Buccal_mucosa	Buccal mucosa	Source	4
160158126_Buccal_mucosa	Buccal mucosa	Source	5
160158126_Buccal_mucosa	Buccal mucosa	Source	6
160158126_Buccal_mucosa	Buccal mucosa	Source	7
160158126_Buccal_mucosa	Buccal mucosa	Source	8
160158126_Buccal_mucosa	Buccal mucosa	Source	9
160158126_Buccal_mucosa	Buccal mucosa	Source	10
160158126_Buccal_mucosa	Buccal mucosa	Source	11
160158126_Buccal_mucosa	Buccal mucosa	Source	12
160158126_Buccal_mucosa	Buccal mucosa	Source	13
160158126_Buccal_mucosa	Buccal mucosa	Source	14
160158126_Buccal_mucosa	Buccal mucosa	Source	15
160158126_Buccal_mucosa	Buccal mucosa	Source	16
160158126_Buccal_mucosa	Buccal mucosa	Source	17
160158126_Buccal_mucosa	Buccal mucosa	Source	18
160158126_Buccal_mucosa	Buccal mucosa	Source	19
160178356_Buccal_mucosa	Buccal mucosa	Source	1
160178356_Buccal_mucosa	Buccal mucosa	Source	2
160178356_Buccal_mucosa	Buccal mucosa	Source	3
160178356_Buccal_mucosa	Buccal mucosa	Source	4
160178356_Buccal_mucosa	Buccal mucosa	Source	5
160178356_Buccal_mucosa	Buccal mucosa	Source	6
160178356_Buccal_mucosa	Buccal mucosa	Source	7
160178356_Buccal_mucosa	Buccal mucosa	Source	8
160178356_Buccal_mucosa	Buccal mucosa	Source	9
160178356_Buccal_mucosa	Buccal mucosa	Source	10
160178356_Buccal_mucosa	Buccal mucosa	Source	11
160178356_Buccal_mucosa	Buccal mucosa	Source	12
160178356_Buccal_mucosa	Buccal mucosa	Source	13
160178356_Buccal_mucosa	Buccal mucosa	Source	14
160178356_Buccal_mucosa	Buccal mucosa	Source	15
160178356_Buccal_mucosa	Buccal mucosa	Source	16
160178356_Buccal_mucosa	Buccal mucosa	Source	17
160178356_Buccal_mucosa	Buccal mucosa	Source	18
160178356_Buccal_mucosa	Buccal mucosa	Source	19
160319967_Buccal_mucosa	Buccal mucosa	Source	1
160319967_Buccal_mucosa	Buccal mucosa	Source	2
160319967_Buccal_mucosa	Buccal mucosa	Source	3
160319967_Buccal_mucosa	Buccal mucosa	Source	4
160319967_Buccal_mucosa	Buccal mucosa	Source	5
160319967_Buccal_mucosa	Buccal mucosa	Source	6
160319967_Buccal_mucosa	Buccal mucosa	Source	7
160319967_Buccal_mucosa	Buccal mucosa	Source	8
160319967_Buccal_mucosa	Buccal mucosa	Source	9
160319967_Buccal_mucosa	Buccal mucosa	Source	10
160319967_Buccal_mucosa	Buccal mucosa	Source	11
160319967_Buccal_mucosa	Buccal mucosa	Source	12
160319967_Buccal_mucosa	Buccal mucosa	Source	13
160319967_Buccal_mucosa	Buccal mucosa	Source	14
160319967_Buccal_mucosa	Buccal mucosa	Source	15
160319967_Buccal_mucosa	Buccal mucosa	Source	16
160319967_Buccal_mucosa	Buccal mucosa	Source	17
160319967_Buccal_mucosa	Buccal mucosa	Source	18
160319967_Buccal_mucosa	Buccal mucosa	Source	19
160380657_Buccal_mucosa	Buccal mucosa	Source	1
160380657_Buccal_mucosa	Buccal mucosa	Source	2
160380657_Buccal_mucosa	Buccal mucosa	Source	3
160380657_Buccal_mucosa	Buccal mucosa	Source	4
160380657_Buccal_mucosa	Buccal mucosa	Source	5
160380657_Buccal_mucosa	Buccal mucosa	Source	6
160380657_Buccal_mucosa	Buccal mucosa	Source	7
160380657_Buccal_mucosa	Buccal mucosa	Source	8
160380657_Buccal_mucosa	Buccal mucosa	Source	9
160380657_Buccal_mucosa	Buccal mucosa	Source	10
160380657_Buccal_mucosa	Buccal mucosa	Source	11
160380657_Buccal_mucosa	Buccal mucosa	Source	12
160380657_Buccal_mucosa	Buccal mucosa	Source	13
160380657_Buccal_mucosa	Buccal mucosa	Source	14
160380657_Buccal_mucosa	Buccal mucosa	Source	15
160380657_Buccal_mucosa	Buccal mucosa	Source	16
160380657_Buccal_mucosa	Buccal mucosa	Source	17
160380657_Buccal_mucosa	Buccal mucosa	Source	18
160380657_Buccal_mucosa	Buccal mucosa	Source	19
160421117_Buccal_mucosa	Buccal mucosa	Source	1
160421117_Buccal_mucosa	Buccal mucosa	Source	2
160421117_Buccal_mucosa	Buccal mucosa	Source	3
160421117_Buccal_mucosa	Buccal mucosa	Source	4
160421117_Buccal_mucosa	Buccal mucosa	Source	5
160421117_Buccal_mucosa	Buccal mucosa	Source	6
160421117_Buccal_mucosa	Buccal mucosa	Source	7
160421117_Buccal_mucosa	Buccal mucosa	Source	8
160421117_Buccal_mucosa	Buccal mucosa	Source	9
160421117_Buccal_mucosa	Buccal mucosa	Source	10
160421117_Buccal_mucosa	Buccal mucosa	Source	11
160421117_Buccal_mucosa	Buccal mucosa	Source	12
160421117_Buccal_mucosa	Buccal mucosa	Source	13
160421117_Buccal_mucosa	Buccal mucosa	Source	14
160421117_Buccal_mucosa	Buccal mucosa	Source	15
160421117_Buccal_mucosa	Buccal mucosa	Source	16
160421117_Buccal_mucosa	Buccal mucosa	Source	17
160421117_Buccal_mucosa	Buccal mucosa	Source	18
160421117_Buccal_mucosa	Buccal mucosa	Source	19
160502038_Buccal_mucosa	Buccal mucosa	Source	1
160502038_Buccal_mucosa	Buccal mucosa	Source	2
160502038_Buccal_mucosa	Buccal mucosa	Source	3
160502038_Buccal_mucosa	Buccal mucosa	Source	4
160502038_Buccal_mucosa	Buccal mucosa	Source	5
160502038_Buccal_mucosa	Buccal mucosa	Source	6
160502038_Buccal_mucosa	Buccal mucosa	Source	7
160502038_Buccal_mucosa	Buccal mucosa	Source	8
160502038_Buccal_mucosa	Buccal mucosa	Source	9
160502038_Buccal_mucosa	Buccal mucosa	Source	10
160502038_Buccal_mucosa	Buccal mucosa	Source	11
160502038_Buccal_mucosa	Buccal mucosa	Source	12
160502038_Buccal_mucosa	Buccal mucosa	Source	13
160502038_Buccal_mucosa	Buccal mucosa	Source	14
160502038_Buccal_mucosa	Buccal mucosa	Source	15
160502038_Buccal_mucosa	Buccal mucosa	Source	16
160502038_Buccal_mucosa	Buccal mucosa	Source	17
160502038_Buccal_mucosa	Buccal mucosa	Source	18
160502038_Buccal_mucosa	Buccal mucosa	Source	19
160582958_Buccal_mucosa	Buccal mucosa	Source	1
160582958_Buccal_mucosa	Buccal mucosa	Source	2
160582958_Buccal_mucosa	Buccal mucosa	Source	3
160582958_Buccal_mucosa	Buccal mucosa	Source	4
160582958_Buccal_mucosa	Buccal mucosa	Source	5
160582958_Buccal_mucosa	Buccal mucosa	Source	6
160582958_Buccal_mucosa	Buccal mucosa	Source	7
160582958_Buccal_mucosa	Buccal mucosa	Source	8
160582958_Buccal_mucosa	Buccal mucosa	Source	9
160582958_Buccal_mucosa	Buccal mucosa	Source	10
160582958_Buccal_mucosa	Buccal mucosa	Source	11
160582958_Buccal_mucosa	Buccal mucosa	Source	12
160582958_Buccal_mucosa	Buccal mucosa	Source	13
160582958_Buccal_mucosa	Buccal mucosa	Source	14
160582958_Buccal_mucosa	Buccal mucosa	Source	15
160582958_Buccal_mucosa	Buccal mucosa	Source	16
160582958_Buccal_mucosa	Buccal mucosa	Source	17
160582958_Buccal_mucosa	Buccal mucosa	Source	18
160582958_Buccal_mucosa	Buccal mucosa	Source	19
160603188_Buccal_mucosa	Buccal mucosa	Source	1
160603188_Buccal_mucosa	Buccal mucosa	Source	2
160603188_Buccal_mucosa	Buccal mucosa	Source	3
160603188_Buccal_mucosa	Buccal mucosa	Source	4
160603188_Buccal_mucosa	Buccal mucosa	Source	5
160603188_Buccal_mucosa	Buccal mucosa	Source	6
160603188_Buccal_mucosa	Buccal mucosa	Source	7
160603188_Buccal_mucosa	Buccal mucosa	Source	8
160603188_Buccal_mucosa	Buccal mucosa	Source	9
160603188_Buccal_mucosa	Buccal mucosa	Source	10
160603188_Buccal_mucosa	Buccal mucosa	Source	11
